,HAPLAP,IXA-NER-RE,SINAI,Talp-UPC,UH-MAJA-KD,Vicomtech,ExSim,baseline,UH-MatCom
scenario1-correct_A,316,321,250,447,455,447,200,316,404
scenario1-incorrect_A,34,32,15,44,35,35,150,34,16
scenario1-partial_A,28,115,21,37,36,47,21,28,38
scenario1-spurious_A,280,76,46,79,63,64,287,280,58
scenario1-missing_A,196,106,288,46,48,45,203,196,116
scenario1-correct_B,45,201,75,211,192,234,8,45,69
scenario1-spurious_B,115,254,108,261,267,210,33,115,102
scenario1-missing_B,461,305,431,295,314,272,498,461,437
scenario1-recall,0.3472222222222222,0.5365740740740741,0.3106481481481482,0.6263888888888889,0.6157407407407407,0.6523148148148148,0.2023148148148148,0.3472222222222222,0.45555555555555555
scenario1-precision,0.45843520782396086,0.58008008008008,0.6514563106796116,0.6269694161260426,0.6345419847328244,0.6793635486981678,0.31258941344778257,0.45843520782396086,0.7161572052401747
scenario1-f1,0.3951527924130664,0.5574795574795575,0.4206896551724138,0.6266790180639185,0.625,0.6655644780349551,0.24564362001124226,0.3951527924130664,0.5568760611205432
scenario1-submit,run2,run1,run1,run1,run2,run3,run1,run1,run3
scenario2-correct_A,315,312,432,440,430,441,180,315,411
scenario2-incorrect_A,37,28,24,30,34,39,172,37,20
scenario2-partial_A,22,110,33,37,39,30,18,22,31
scenario2-spurious_A,273,55,42,61,45,45,277,273,55
scenario2-missing_A,182,106,67,49,53,46,186,182,94
scenario2-correct_B,0,0,0,0,0,205,0,0,0
scenario2-spurious_B,0,0,0,0,0,201,0,0,0
scenario2-missing_B,487,487,487,487,487,282,487,487,487
scenario2-recall,0.5863309352517986,0.6600719424460432,0.8066546762589928,0.8246402877697842,0.8084532374100719,0.8201438848920863,0.33992805755395683,0.5863309352517986,0.7670863309352518
scenario2-precision,0.5038639876352395,0.7267326732673267,0.844632768361582,0.8072183098591549,0.8202554744525548,0.8216216216216217,0.2921174652241113,0.5038639876352395,0.8249516441005803
scenario2-f1,0.541978387364921,0.6918001885014138,0.8252069917203312,0.8158362989323843,0.8143115942028986,0.8208820882088209,0.314214463840399,0.541978387364921,0.7949673811742778
scenario2-submit,run2,run1,run3,run1,run1,run3,run1,run1,run3
scenario3-correct_A,581,581,581,577,581,580,581,581,581
scenario3-incorrect_A,0,0,0,0,0,0,0,0,0
scenario3-partial_A,0,0,0,4,0,1,0,0,0
scenario3-spurious_A,0,0,0,0,0,0,0,0,0
scenario3-missing_A,0,0,0,0,0,0,0,0,0
scenario3-correct_B,159,322,190,269,297,268,39,39,236
scenario3-spurious_B,326,175,113,147,175,131,35,35,110
scenario3-missing_B,361,198,330,251,223,252,481,481,284
scenario3-recall,0.3057692307692308,0.6192307692307693,0.36538461538461536,0.5173076923076924,0.5711538461538461,0.5153846153846153,0.075,0.075,0.45384615384615384
scenario3-precision,0.32783505154639175,0.647887323943662,0.6270627062706271,0.6466346153846154,0.6292372881355932,0.6716791979949874,0.527027027027027,0.527027027027027,0.6820809248554913
scenario3-f1,0.31641791044776124,0.6332350049164208,0.46172539489671927,0.574786324786325,0.5987903225806451,0.5832426550598476,0.1313131313131313,0.1313131313131313,0.5450346420323325
scenario3-submit,run2,run1,run2,run1,run2,run3,run1,run1,run2
scenario4-correct_A,196,592,350,947,847,861,172,196,523
scenario4-incorrect_A,38,88,20,93,84,88,62,38,40
scenario4-partial_A,41,231,25,74,120,136,40,41,144
scenario4-spurious_A,453,112,46,146,114,125,454,453,78
scenario4-missing_A,935,299,815,96,159,125,936,935,503
scenario4-correct_B,3,295,74,373,292,360,2,3,9
scenario4-spurious_B,48,462,182,611,514,600,36,48,37
scenario4-missing_B,1194,902,1123,824,905,837,1195,1194,1188
scenario4-recall,0.0911923556294142,0.4164935604486913,0.18134607395097632,0.5637723307021189,0.4981304528458662,0.5355213959285418,0.0805982550893228,0.0911923556294142,0.2509347735770669
scenario4-precision,0.28177150192554556,0.5632022471910112,0.6262553802008608,0.6047237076648841,0.6083206494165398,0.5940092165898617,0.25326370757180156,0.28177150192554556,0.7268351383874849
scenario4-f1,0.13779033270558694,0.4788631478385479,0.28125,0.5835304235648248,0.5477386934673367,0.563251037797684,0.12228175228490387,0.13779033270558694,0.3730697961704756
scenario4-submit,run2,run1,run2,run2,run2,run3,run1,run1,run3

