name,scenario1-f1,scenario1-precision,scenario1-recall
Vicomtech,0.6655644780349551,0.6793635486981678,0.6523148148148148
Talp-UPC,0.6266790180639185,0.6269694161260426,0.6263888888888889
UH-MAJA-KD,0.625,0.6345419847328244,0.6157407407407407
IXA-NER-RE,0.5574795574795575,0.58008008008008,0.5365740740740741
UH-MatCom,0.5568760611205432,0.7161572052401747,0.45555555555555555
SINAI,0.4206896551724138,0.6514563106796116,0.3106481481481482
HAPLAP,0.3951527924130664,0.45843520782396086,0.3472222222222222
baseline,0.3951527924130664,0.45843520782396086,0.3472222222222222
ExSim,0.24564362001124226,0.31258941344778257,0.2023148148148148

name,scenario2-f1,scenario2-precision,scenario2-recall
SINAI,0.8252069917203312,0.844632768361582,0.8066546762589928
Vicomtech,0.8208820882088209,0.8216216216216217,0.8201438848920863
Talp-UPC,0.8158362989323843,0.8072183098591549,0.8246402877697842
UH-MAJA-KD,0.8143115942028986,0.8202554744525548,0.8084532374100719
UH-MatCom,0.7949673811742778,0.8249516441005803,0.7670863309352518
IXA-NER-RE,0.6918001885014138,0.7267326732673267,0.6600719424460432
HAPLAP,0.541978387364921,0.5038639876352395,0.5863309352517986
baseline,0.541978387364921,0.5038639876352395,0.5863309352517986
ExSim,0.314214463840399,0.2921174652241113,0.33992805755395683

name,scenario3-f1,scenario3-precision,scenario3-recall
IXA-NER-RE,0.6332350049164208,0.647887323943662,0.6192307692307693
UH-MAJA-KD,0.5987903225806451,0.6292372881355932,0.5711538461538461
Vicomtech,0.5832426550598476,0.6716791979949874,0.5153846153846153
Talp-UPC,0.574786324786325,0.6466346153846154,0.5173076923076924
UH-MatCom,0.5450346420323325,0.6820809248554913,0.45384615384615384
SINAI,0.46172539489671927,0.6270627062706271,0.36538461538461536
HAPLAP,0.31641791044776124,0.32783505154639175,0.3057692307692308
ExSim,0.1313131313131313,0.527027027027027,0.075
baseline,0.1313131313131313,0.527027027027027,0.075

name,scenario4-f1,scenario4-precision,scenario4-recall
Talp-UPC,0.5835304235648248,0.6047237076648841,0.5637723307021189
Vicomtech,0.563251037797684,0.5940092165898617,0.5355213959285418
UH-MAJA-KD,0.5477386934673367,0.6083206494165398,0.4981304528458662
IXA-NER-RE,0.4788631478385479,0.5632022471910112,0.4164935604486913
UH-MatCom,0.3730697961704756,0.7268351383874849,0.2509347735770669
SINAI,0.28125,0.6262553802008608,0.18134607395097632
HAPLAP,0.13779033270558694,0.28177150192554556,0.0911923556294142
baseline,0.13779033270558694,0.28177150192554556,0.0911923556294142
ExSim,0.12228175228490387,0.25326370757180156,0.0805982550893228

